,short_name,cluster
855,F. Tait,1
856,D. Laxalt,1
857,N. Maksimović,1
858,Capa,1
859,Bastos,1
860,M. Diagne,1
861,G. Ochoa,0
862,C. Tévez,0
863,J. Sosa,0
864,Raffael,0
865,Andrés Fernández,1
866,J. Pinola,0
867,M. Zárate,1
868,Hilton,0
869,G. Hoarau,0
870,A. Granqvist,0
871,R. Babel,1
872,T. Vermaelen,0
873,D. Abraham,0
874,S. Nasri,1
875,I. Khune,1
876,A. Masiello,0
877,R. Bertrand,1
878,J. dos Santos,1
879,Gervinho,1
880,N. Şahin,1
881,S. Defour,1
882,K. Mirallas,1
883,Manu García,1
884,Coke,1
885,V. Moses,0
886,C. Ansaldi,1
887,S. Mignolet,0
888,H. Moreno,0
889,J. Tomkins,1
890,F. Caicedo,1
891,V. Birsa,1
892,D. Mbokani,0
893,C. Zapata,0
894,J. Hernández,1
895,P. Diop,0
896,M. Sulejmani,1
897,D. Da Silva,1
898,Marcelo,1
899,Guilherme,0
900,S. Jovetić,1
901,M. Cáceres,0
902,J. Holebas,0
903,N. Amrabat,1
904,T. Deeney,1
905,L. Fejsa,1
906,D. Schwaab,1
907,O. Karnezis,0
908,N. Petersen,1
909,P. Piatti,1
910,S. Wagner,1
911,Bruno,0
912,Adrien Silva,1
913,Mikel San José,1
914,D. Welbeck,1
915,R. Zieler,0
916,A. Barnes,1
917,A. Dzyuba,0
918,C. Grenier,1
919,Camacho,1
920,Rafael Carioca,1
921,Alan Carvalho,0
922,R. Boudebouz,1
923,A. Mehmedi,1
924,Daniel Carriço,1
925,S. Rudy,0
926,Souza,1
927,B. Hübner,1
928,Iborra,1
929,J. Baumgartlinger,1
930,Rafael,1
931,B. Mee,1
932,De Marcos,1
933,M. Hitz,0
934,N. Clyne,1
935,B. André,1
936,M. Antonio,1
937,P. Groß,1
938,J. Guðmundsson,1
939,D. Ginczek,1
940,S. Cook,1
941,Jaume Costa,0
942,R. Soriano,1
943,G. Medel,1
944,D. Didavi,1
945,Hugo Mallo,1
946,A. Townsend,1
947,T. Cairney,1
948,A. Finnbogason,1
949,N. Lodeiro,1
950,G. Krychowiak,1
951,B. Stambouli,1
952,K. Malcuit,1
953,Nolito,1
954,S. Rode,1
955,A. Marchesín,1
956,G. Ramírez,1
957,M. Rojo,1
958,Naldo,1
959,J. Gouweleeuw,1
960,G. Defrel,1
961,Álvaro,0
962,A. Carrillo,1
963,S. García,1
964,Djaniny,1
965,Z. Feddal,1
966,L. Pavoletti,1
967,R. Olsen,1
968,G. Pizarro,1
969,M. de Roon,1
970,H. Sakai,1
971,G. Kanga,1
972,F. Fabra,1
973,G. Cano,1
974,C. Izquierdoz,1
975,A. Donatti,0
976,I. Fernández,1
977,N. Domínguez,1
978,Marcelo Goiano,1
979,J. Seri,0
980,R. Battaglia,1
981,G. Arias,0
982,O. Al Soma,1
983,M. Campaña,0
984,Ronaldo Esler,1
985,Claudio Coíntra,0
986,Everticinho,1
987,Sidney Pessinho,1
988,Júnior Moraes,1
989,E. Guichón,0
990,G. Quintana,0
991,F. Contedo,0
992,D. Upamecano,1
993,E. Audero,1
994,D. Calabria,1
995,E. Palacios,1
996,M. Grujić,0
997,P. Cutrone,1
998,D. Brooks,1
999,M. Vargas,1
1000,Brais Méndez,1
1001,Luiz Felipe,1
1002,Y. Atal,1
1003,J. Grealish,1
1004,A. Miranchuk,1
1005,Jorge Meré,1
1006,N. Mukiele,1
1007,C. Nkunku,1
1008,Wendel,1
1009,F. Valverde,1
1010,L. Martínez,1
1011,N. Vlašić,1
1012,Reguilón,0
1013,Renan Lodi,1
1014,G. Simeone,1
1015,A. Sanabria,0
1016,R. Borré,1
1017,E. Ünal,0
1018,M. Pašalić,0
1019,P. Bernardoni,0
1020,L. Cook,1
1021,E. Boateng,1
1022,N. Nández,1
1023,J. Mæhle,1
1024,N. Mazraoui,1
1025,F. Bustos,1
1026,A. Barák,1
1027,M. Rojas,1
1028,S. McTominay,1
1029,Galeno,1
1030,Chiquinho,1
1031,K. Mbabu,1
1032,P. Sisto,1
1033,J. Bednarek,1
1034,D. Calvert-Lewin,1
1035,O. Duda,1
1036,M. Lopez,1
1037,Vallejo,0
1038,K. Laimer,1
1039,Borja Mayoral,0
1040,Córdoba,1
1041,P. Rosario,1
1042,W. Hughes,1
1043,M. Weiser,1
1044,Andreas Pereira,1
1045,Emerson,1
1046,M. Benassi,1
1047,A. Djiku,1
1048,Diego Llorente,1
1049,W. Cyprien,1
1050,F. Acheampong,1
1051,N. Bentaleb,1
1052,P. Højbjerg,1
1053,L. Miranda,0
1054,A. Petagna,1
1055,K. Tete,1
1056,G. Escalante,1
1057,Alex Berenguer,1
1058,O. Colley,1
1059,S. Sensi,0
1060,M. Gaćinović,1
1061,M. Diakhaby,1
1062,M. Arambarri,1
1063,R. Marin,1
1064,M. Niang,1
1065,O. Selnæs,1
1066,R. Pizarro,1
1067,C. Salcedo,1
1068,B. Fernández,1
1069,R. Bensebaini,1
1070,Aritz Elustondo,1
1071,G. Pereiro,1
1072,Cláudio Ramos,1
1073,N. Redmond,1
1074,T. Koubek,1
1075,L. Ocampos,1
1076,J. Lukaku,1
1077,K. Ayhan,1
1078,S. Boufal,1
1079,P. Max,1
1080,B. Mechele,1
1081,Y. Gerhardt,1
1082,B. Bourigeaud,1
1083,I. Bebou,1
1084,Wendell,1
1085,Pedro Henrique,1
1086,A. Schöpf,1
1087,D. Kuzyaev,0
1088,G. Rodríguez,1
1089,C. Domínguez,1
1090,E. Mendy,1
1091,C. Luyindama,1
1092,S. Aziz,1
1093,O. Özyakup,1
1094,M. Bizot,1
1095,C. Piccini,1
1096,C. Coady,1
1097,R. Knoche,1
1098,L. Bittencourt,1
1099,B. Reynet,1
1100,K. Stöger,1
1101,Sergio Rico,1
1102,Paulinho,1
1103,S. Lainer,1
1104,Trezeguet,1
1105,P. Lees-Melou,1
1106,J. Shelvey,1
1107,C. Wood,1
1108,M. Plattenhardt,1
1109,D. Pröpper,1
1110,N. Gudelj,1
1111,Renan Ribeiro,1
1112,Juanmi,1
1113,R. Funes Mori,1
1114,M. van Ginkel,1
1115,Pedro Obiang,1
1116,Bruno,1
1117,D. Sidibé,0
1118,Pablo,1
1119,L. Kurzawa,1
1120,N. Füllkrug,1
1121,A. Younes,1
1122,M. De Sciglio,1
1123,Rubén Sobrino,1
1124,Y. Bounou,1
1125,R. Centurión,0
1126,M. Elneny,1
1127,M. Meza,1
1128,K. Lasagna,1
1129,E. Akbaba,1
1130,A. Paschalakis,1
1131,P. Hrošovský,1
1132,D. Baier,0
1133,Jô,0
1134,A. Pyatov,0
1135,Iván Ramis,0
1136,Iván Cuéllar,0
1137,K. Huntelaar,0
1138,J. Hart,0
1139,G. Clichy,0
1140,A. Young,0
1141,R. Civelli,0
1142,D. Cvitanich,0
1143,J. Farfán,0
1144,Gelson Fernandes,0
1145,Javi García,1
1146,V. Ibišević,0
1147,G. Pellè,0
1148,B. Wright-Phillips,0
1149,G. Cahill,0
1150,T. Walcott,1
1151,Danilo,0
1152,I. Scocco,0
1153,E. Elia,1
1154,L. Schøne,0
1155,G. Murray,0
1156,Z. Junuzović,1
1157,C. Bravo,0
1158,V. Odjidja-Ofoe,1
1159,P. Wernbloom,0
1160,M. Berg,0
1161,R. Gurtner,0
1162,M. Schneiderlin,1
1163,Miguel Veloso,0
1164,M. Layún,0
1165,J. Lens,1
1166,Varela,1
1167,L. Rémy,1
1168,M. Suchý,0
1169,S. De Maio,0
1170,P. Aguilar,0
1171,G. Sio,1
1172,F. Delph,1
1173,N. Subotić,1
1174,Roberto,0
1175,M. Dossevi,1
1176,A. Ogbonna,1
1177,I. Traoré,1
1178,M. Carcela-González,1
1179,R. Alessandrini,1
1180,Alan Kardec,1
1181,Maurício,1
1182,A. Poli,1
1183,O. Ighalo,1
1184,D. Drinkwater,0
1185,Claudemir,1
1186,Douglas,0
1187,A. Dzagoev,1
1188,M. Suárez,1
1189,D. Janmaat,1
1190,G. Bou,1
1191,A. Dragović,1
1192,A. Westwood,1
1193,D. Latza,1
1194,Victor Sánchez,1
1195,T. Pukki,1
1196,J. Kucka,0
1197,T. Rincón,1
1198,Johnathan,1
1199,Y. Mallı,1
1200,Carlos Eduardo,1
1201,L. Rodríguez,0
1202,C. Tosun,1
1203,G. Burgstaller,1
1204,Rômulo,1
1205,Y. El Arabi,1
1206,Fransérgio,1
1207,J. Martin,1
1208,P. Herrmann,1
1209,R. Funes Mori,1
1210,Tomás Pina,1
1211,Sergio León,1
